r_custID,r_Inflightwifiservice,r_DepartureArrivaltimeconvenient,r_EaseofOnlinebooking,r_Gatelocation,r_Foodanddrink,r_Onlineboarding,r_Seatcomfort,r_Inflightentertainment,r_Onboardservice,r_Legroomservice,r_Baggagehandling,r_Checkinservice,r_Inflightservice,r_Cleanliness
115,3,2,3,3,2,3,2,2,3,4,3,3,3,2
116,2,2,2,3,3,2,4,3,1,1,3,1,3,3
117,4,4,4,4,1,3,3,5,5,5,4,5,5,5
118,5,5,5,5,4,4,4,4,4,2,2,4,3,4
119,2,1,1,1,2,2,2,2,3,4,3,3,3,2
120,4,2,2,2,3,4,4,1,1,1,4,1,1,2
121,2,1,2,2,5,2,4,5,3,3,2,1,3,5
122,4,4,4,3,4,4,3,4,4,2,5,3,4,4
123,1,3,1,4,4,1,4,4,2,5,3,1,3,4
124,1,5,1,2,2,1,5,2,5,2,5,4,5,2
125,3,5,3,3,5,3,5,5,4,3,1,4,5,5
127,2,1,2,3,4,3,3,3,3,2,3,1,3,4
131,3,3,3,4,5,3,5,5,1,4,3,1,3,5
132,2,2,2,3,2,2,2,2,4,3,4,4,5,2
133,3,3,3,3,3,3,4,3,2,1,3,2,3,3
137,5,5,5,5,4,4,4,4,4,4,4,4,4,4
138,2,2,2,2,2,5,4,4,4,4,4,3,4,5
139,3,5,5,5,4,4,3,3,3,3,3,2,3,1
140,4,4,4,4,4,4,4,4,4,5,4,4,5,4
141,4,4,4,4,3,4,4,4,4,4,4,3,4,4
142,2,2,4,2,3,5,5,4,4,4,4,4,4,4
143,0,0,0,5,2,5,4,2,2,2,2,4,2,4
144,0,0,0,2,5,4,5,1,1,1,1,4,1,5
145,4,1,1,1,3,4,4,4,2,4,4,4,3,4
146,4,4,4,4,2,4,5,4,4,4,4,3,4,3
147,2,1,1,1,2,2,2,4,1,4,4,2,2,2
148,2,3,3,3,2,3,3,2,2,2,2,3,2,3
150,2,1,2,3,2,3,3,4,3,4,4,3,2,3
151,5,1,5,5,2,5,5,5,5,5,5,4,5,5
152,3,4,4,4,5,3,3,3,3,3,3,4,3,4
153,3,3,3,3,5,4,4,5,5,5,5,4,5,3
154,4,4,4,4,4,4,5,5,5,5,5,3,5,5
155,4,3,4,3,5,4,5,5,1,2,4,4,4,5
156,2,2,2,3,3,2,5,3,1,5,4,2,3,3
157,1,3,3,3,1,3,4,1,1,2,1,3,1,1
158,1,4,1,3,2,1,2,2,3,2,3,3,4,2
159,4,4,4,4,5,3,5,5,5,5,5,4,5,1
160,2,4,2,2,4,4,5,4,4,2,3,5,4,4
161,2,5,2,5,5,2,5,5,3,2,5,4,4,5
162,3,5,0,1,5,0,5,5,1,2,5,3,4,5
163,2,4,2,3,5,5,4,2,2,2,2,3,2,3
164,4,4,4,1,4,4,4,5,5,4,4,4,5,4
165,2,5,0,3,2,0,2,2,4,5,5,3,5,2
166,2,3,0,1,2,4,2,4,4,0,4,3,4,3
167,3,5,0,3,5,5,5,5,5,0,1,3,5,4
168,3,5,3,4,4,3,4,4,3,2,5,3,5,4
169,2,3,2,3,4,2,4,4,4,4,1,3,3,4
170,3,5,3,2,2,3,2,2,4,4,5,3,5,2
171,4,4,4,4,5,4,5,5,5,5,5,3,5,3
174,3,4,3,4,1,3,4,3,3,3,3,4,3,2
176,2,3,2,1,4,3,5,4,4,2,4,1,4,4
177,1,4,1,2,1,1,1,1,4,4,4,3,5,1
178,2,1,2,4,4,2,4,4,3,3,4,3,4,4
179,0,4,0,3,3,4,4,1,1,1,1,5,1,5
180,0,5,0,2,5,5,5,5,5,5,5,3,5,5
181,4,4,4,4,3,5,4,5,5,5,5,3,5,3
182,4,4,4,4,2,4,4,4,4,4,5,3,4,3
183,3,0,3,3,2,3,2,2,5,5,4,4,5,2
184,0,4,0,2,4,5,4,1,1,1,1,3,1,5
185,2,1,1,1,4,3,3,3,3,2,2,1,3,1
186,1,1,1,1,3,4,4,3,3,4,5,3,3,3
187,3,3,3,3,5,3,5,5,3,2,4,5,4,5
188,4,2,4,1,5,4,5,5,4,4,5,5,5,5
189,0,0,0,2,5,4,5,3,3,3,3,5,3,4
190,2,2,2,2,4,4,4,5,5,5,5,4,5,3
191,2,2,2,4,2,2,2,2,4,4,3,4,4,2
192,2,2,3,2,5,4,4,2,2,2,2,2,2,3
193,1,1,1,1,5,4,4,5,5,5,5,4,5,3
194,2,2,2,2,3,4,4,5,5,5,5,3,5,3
198,4,4,4,5,3,4,3,3,5,3,4,4,5,3
201,1,5,5,5,5,4,3,2,2,2,1,2,2,3
202,3,3,3,3,5,3,5,5,5,4,5,4,4,5
203,3,3,3,4,5,3,5,5,4,5,3,4,4,5
204,2,3,3,3,2,3,3,4,4,4,2,1,4,1
205,4,5,5,5,5,3,3,4,4,3,4,3,4,2
206,3,4,4,4,4,4,3,3,3,3,3,2,3,1
207,0,5,0,5,5,4,5,4,4,1,1,3,4,3
208,2,2,2,4,5,2,5,5,4,4,4,3,4,5
209,2,2,3,2,1,4,2,4,4,4,4,5,4,5
210,4,2,4,1,2,4,2,2,2,1,1,4,1,2
212,2,5,5,5,5,4,2,5,1,2,3,1,4,5
213,3,5,3,5,2,2,3,2,1,5,4,1,3,2
214,2,2,2,3,3,2,5,3,1,3,3,1,4,3
215,3,4,3,3,4,3,4,4,1,3,3,3,4,4
216,0,3,0,4,3,0,3,3,4,3,4,3,4,3
217,2,5,2,1,5,2,5,5,4,3,4,4,4,5
218,4,4,4,3,3,4,2,3,3,3,2,4,4,3
219,4,5,5,3,2,5,2,2,4,5,4,4,4,2
220,3,4,3,3,3,3,3,3,1,4,4,5,4,3
221,2,0,2,2,3,2,3,3,4,2,5,5,5,3
222,4,5,4,1,1,4,1,1,1,4,1,4,1,1
223,1,5,1,1,1,5,5,4,5,4,4,5,3,5
224,3,4,3,1,2,3,2,2,4,3,4,4,5,2
225,4,5,4,2,3,4,3,3,4,3,4,3,2,3
226,3,5,3,4,2,3,2,2,4,3,4,5,4,2
228,3,4,3,4,4,3,4,4,3,3,4,3,4,4
230,2,2,2,5,2,2,2,2,3,4,4,5,4,2
232,4,4,4,4,4,5,4,5,5,5,5,5,5,5
234,3,4,4,4,3,3,3,3,1,4,5,4,3,3
235,5,2,5,3,2,5,2,2,5,4,4,4,5,2
236,2,4,4,4,1,2,2,2,2,2,2,1,2,4
237,3,5,3,2,2,3,2,2,3,4,5,3,5,2
238,2,2,3,2,3,5,5,5,5,5,5,3,5,3
239,3,3,3,3,3,5,5,4,4,4,4,5,4,3
240,5,5,5,5,2,5,5,5,5,5,5,3,5,5
241,2,2,2,2,5,5,5,5,4,3,5,4,5,5
242,4,4,4,5,1,4,1,1,5,5,4,4,4,1
243,1,1,1,3,1,1,1,1,4,3,3,1,4,1
244,2,2,2,3,3,2,3,3,2,2,2,1,2,3
246,3,2,2,2,3,3,3,3,2,4,3,3,4,3
247,4,1,1,1,4,4,4,4,4,3,4,4,3,4
248,3,4,4,4,3,3,3,3,2,2,4,2,3,3
249,2,0,2,2,5,2,5,5,1,5,5,2,3,5
250,3,4,3,4,5,5,4,1,1,3,1,5,1,5
251,3,2,3,2,3,2,2,3,3,2,3,2,1,2
252,1,1,2,4,3,4,3,2,2,2,2,4,2,2
253,2,5,2,2,2,2,2,2,4,5,4,3,5,2
254,1,4,1,2,2,1,1,2,5,5,5,3,4,2
256,5,4,5,1,2,5,2,2,5,3,5,3,5,2
257,2,2,2,2,3,4,4,5,5,5,5,3,5,5
258,4,4,4,4,4,4,5,4,4,4,4,3,4,5
260,2,5,5,5,2,4,3,2,2,2,2,2,2,2
261,2,4,3,4,1,1,2,2,2,3,2,3,2,4
262,2,4,2,1,2,4,4,4,4,2,5,5,4,4
264,5,5,5,5,3,4,4,5,5,5,5,3,5,3
265,3,3,4,3,5,4,5,4,4,4,4,4,4,4
266,2,2,3,2,4,5,4,3,3,4,3,3,3,3
267,1,1,1,1,3,4,5,4,4,5,4,3,4,3
268,3,3,3,4,3,3,3,3,2,1,3,2,4,3
270,2,2,2,2,2,5,5,4,4,4,4,5,4,4
272,3,1,1,1,2,2,2,3,3,2,3,3,3,3
273,2,2,2,2,5,3,3,2,2,2,2,3,2,1
274,4,3,3,4,1,3,1,1,3,3,3,3,3,1
275,3,5,3,3,4,5,4,4,3,4,5,3,4,4
276,2,0,3,1,2,3,2,2,4,1,4,5,2,2
277,3,3,3,3,5,3,3,5,5,5,5,2,5,5
278,2,5,1,4,4,1,4,4,3,2,3,4,1,4
279,3,3,3,4,1,3,1,1,4,1,4,3,4,1
280,4,5,4,3,3,4,3,3,4,5,5,4,4,3
281,3,4,3,1,5,3,5,5,3,3,5,4,5,5
282,4,5,4,4,4,4,4,4,3,3,5,5,5,4
283,4,4,4,1,2,4,2,2,3,2,4,4,5,2
285,1,1,5,5,3,4,4,1,1,1,1,1,1,2
288,3,3,2,1,3,5,1,5,5,2,5,4,5,4
290,1,1,1,2,1,1,1,1,4,5,4,4,4,1
291,1,1,3,1,3,4,5,4,4,4,4,5,4,5
292,4,3,3,3,1,3,1,1,5,2,4,3,5,1
293,2,4,4,4,5,3,3,2,2,1,2,1,2,2
294,3,2,3,3,1,3,1,1,2,3,3,3,4,1
296,3,4,4,4,5,4,3,3,3,3,3,2,3,3
298,3,3,3,5,5,3,5,5,4,3,4,3,4,5
299,2,2,2,2,3,5,4,5,5,5,5,5,5,3
301,2,2,2,2,5,5,4,3,3,2,3,5,3,4
304,1,2,2,2,1,3,4,1,1,1,1,4,1,2
305,1,1,1,1,4,4,5,4,4,4,4,5,4,4
307,5,5,5,5,5,4,5,5,5,5,4,3,4,5
309,2,2,2,2,4,4,5,4,4,4,4,5,4,4
310,1,1,1,1,5,4,4,3,3,3,3,5,3,4
311,2,2,2,3,4,2,4,4,4,5,4,5,4,4
312,2,2,2,2,5,5,5,4,2,5,4,5,4,5
313,4,4,4,1,3,4,4,3,5,4,5,4,4,3
314,2,2,2,2,2,4,4,4,4,4,4,3,4,5
315,1,1,1,1,5,5,5,5,3,4,5,4,5,5
316,1,1,1,1,2,4,4,5,5,5,5,3,5,3
317,5,5,5,3,5,5,5,5,3,3,5,4,5,5
318,2,2,2,3,1,2,1,1,2,5,3,3,3,1
319,2,1,3,1,1,3,4,2,2,2,2,1,2,3
320,2,1,3,3,3,3,3,3,2,4,3,1,3,3
321,2,1,1,1,2,3,4,2,2,2,2,1,2,3
322,2,3,3,3,1,2,3,2,2,2,2,4,2,2
323,2,2,2,2,2,5,5,4,4,4,4,3,4,4
326,1,1,1,1,5,5,5,5,5,4,4,4,4,5
327,1,3,3,3,1,4,4,1,1,1,1,1,1,3
329,1,3,3,3,1,3,3,1,1,1,1,2,1,3
330,2,4,4,4,2,4,3,2,2,2,2,1,2,3
332,4,1,5,1,4,4,4,4,2,3,3,5,2,4
333,5,3,5,3,2,5,2,2,5,2,1,1,3,2
334,3,5,3,2,1,3,1,1,4,4,1,1,4,1
335,1,0,0,3,5,3,3,1,1,0,1,4,1,1
336,4,4,4,4,4,4,4,4,1,4,4,4,4,4
337,2,5,2,1,5,2,5,5,4,2,4,3,4,5
338,4,5,4,3,3,4,4,4,4,4,4,4,4,3
339,2,2,3,2,2,3,2,2,2,4,2,4,3,2
340,3,5,3,1,2,3,2,2,5,3,4,5,5,2
341,1,5,1,3,3,1,2,3,4,4,5,3,4,3
342,2,4,2,2,3,2,3,3,3,5,5,5,4,3
343,3,4,3,4,2,4,3,4,4,3,4,2,4,4
344,2,1,2,4,1,2,1,1,2,5,4,4,4,1
345,1,1,1,2,2,1,4,2,4,5,3,3,2,2
349,3,3,4,4,4,4,4,4,4,5,3,3,3,4
350,5,5,5,5,4,4,4,4,5,5,5,4,5,4
351,2,2,2,2,3,4,3,2,2,2,2,1,2,2
352,2,5,1,2,5,1,5,5,3,2,5,4,4,5
353,4,5,3,3,5,3,4,5,3,4,1,2,1,5
354,2,5,2,4,2,5,4,2,2,2,2,5,2,4
355,2,3,2,3,5,2,5,5,4,1,2,3,2,5
357,2,2,2,2,4,4,5,5,5,5,5,4,5,4
359,0,4,0,5,3,5,4,5,5,5,5,4,5,4
360,4,4,4,5,5,4,2,5,3,2,5,4,4,5
361,5,5,5,5,5,4,5,5,5,5,5,5,5,4
362,5,3,5,3,5,5,5,5,5,4,4,4,5,5
363,2,2,2,2,5,4,4,5,5,5,5,3,5,3
366,5,5,5,5,2,4,5,5,5,5,5,5,5,5
367,0,0,0,1,4,0,4,4,3,3,5,5,4,4
369,2,2,2,2,4,4,4,4,4,4,4,5,4,3
370,1,1,1,1,4,5,4,5,5,5,4,5,5,4
373,3,3,3,3,5,5,4,5,5,4,5,4,5,3
374,3,3,2,3,4,4,5,5,5,5,5,5,5,3
375,3,3,3,3,5,4,5,4,4,4,4,4,4,5
377,4,4,4,4,3,5,5,4,4,4,4,3,4,3
378,5,1,1,4,5,5,5,5,5,3,5,4,4,5
379,3,3,3,3,4,4,5,5,5,5,5,3,5,3
380,0,0,0,4,4,5,4,5,5,5,5,4,5,3
381,5,4,5,5,3,4,4,4,4,4,4,4,4,4
382,3,3,3,3,3,4,4,4,4,4,4,5,4,3
383,4,4,4,4,5,5,5,5,5,5,4,4,5,3
384,1,1,1,1,5,5,4,5,5,5,4,5,5,5
385,0,0,0,4,4,4,4,2,2,2,2,3,2,3
386,2,2,2,2,2,5,4,4,4,4,4,3,4,4
387,4,4,4,4,3,5,4,4,4,4,4,4,4,5
389,2,2,2,3,1,2,1,1,5,4,5,3,5,1
392,5,5,5,5,3,5,5,4,4,4,4,4,4,3
393,4,4,4,4,2,4,5,4,4,4,5,3,4,5
394,1,1,1,1,2,4,4,3,3,4,4,4,3,5
395,5,5,5,5,4,5,5,5,5,5,5,4,5,5
396,3,1,5,1,1,4,3,3,3,3,3,2,3,3
397,2,3,2,4,3,2,3,3,3,3,4,1,4,3
398,4,4,4,4,2,4,5,4,4,4,4,4,4,4
399,4,4,4,3,1,4,2,1,4,4,5,5,4,1
400,0,0,1,1,5,1,4,5,3,4,5,3,5,5
401,4,4,4,4,2,4,4,5,5,5,5,5,5,5
402,5,5,5,5,4,4,4,4,4,4,4,5,4,3
403,3,3,5,3,5,5,4,4,4,5,4,3,4,4
405,3,2,2,2,3,2,2,3,3,3,3,2,3,4
406,2,1,1,1,4,1,4,4,4,2,5,4,4,4
407,2,4,4,4,1,1,2,1,1,1,4,4,4,1
408,2,5,5,5,1,2,2,2,2,2,2,2,2,1
410,2,1,1,1,1,4,4,2,2,2,2,4,2,1
411,0,5,0,3,2,4,5,4,4,4,2,5,4,4
412,2,2,2,2,2,4,4,1,1,1,2,3,1,2
413,2,1,4,4,1,2,3,1,1,1,2,3,1,3
414,0,4,0,1,2,5,5,2,2,2,2,5,2,3
415,4,4,4,3,2,4,5,2,1,2,4,1,3,2
416,1,2,2,2,5,3,2,4,4,3,1,3,4,4
417,1,1,1,1,3,5,4,5,5,5,4,5,5,5
418,5,5,5,5,4,5,5,5,5,5,5,5,5,4
419,5,5,3,5,4,4,4,4,4,4,4,3,4,4
420,3,2,2,2,2,3,4,1,1,1,3,1,1,2
421,3,0,4,4,4,4,4,4,3,2,4,4,5,4
424,4,1,4,4,4,5,4,4,4,4,4,4,4,3
425,0,4,0,3,5,4,4,1,1,1,1,5,1,5
426,4,1,1,1,1,3,4,4,4,4,4,1,4,4
427,1,1,1,4,3,1,3,3,2,4,4,1,3,3
428,4,3,3,3,3,4,4,1,1,2,4,3,1,4
429,2,5,2,5,2,5,4,2,2,2,2,3,2,4
430,3,5,3,3,2,3,2,2,1,1,1,1,4,2
431,1,2,0,3,5,4,4,1,1,0,1,4,1,4
432,2,5,2,3,3,4,5,1,1,2,1,4,1,4
434,3,5,3,5,3,3,3,3,3,3,5,4,5,3
435,2,2,2,3,5,3,3,2,2,2,2,4,2,3
439,4,3,4,2,3,3,5,2,2,4,4,4,2,4
440,1,5,4,4,4,5,5,1,1,4,1,3,1,3
441,5,5,5,4,5,5,5,5,3,2,4,4,5,5
442,3,4,3,4,5,3,5,5,3,5,2,1,1,5
443,1,4,0,2,4,4,4,3,3,0,3,5,3,5
444,5,5,5,1,3,5,4,3,3,5,3,4,3,4
445,4,4,4,4,4,4,5,5,5,5,5,4,5,4
448,4,4,4,4,5,4,5,5,5,5,5,3,5,5
449,4,4,4,3,3,4,3,3,5,3,5,5,4,3
450,2,2,2,2,5,5,4,5,5,2,4,3,4,5
452,0,4,0,4,4,5,5,1,1,1,1,4,1,3
453,4,4,4,4,2,4,4,4,4,4,4,3,4,4
454,1,1,1,1,2,4,4,5,5,5,5,3,5,5
455,5,5,5,5,4,5,5,5,5,5,5,4,5,3
456,5,5,5,5,2,5,5,5,5,5,5,4,5,3
457,5,5,5,5,3,4,4,5,5,5,5,5,5,5
458,5,5,5,5,5,4,4,5,5,5,4,4,5,4
460,0,0,0,1,3,5,5,1,1,2,2,4,1,5
461,3,3,3,3,5,5,5,4,4,4,4,4,4,4
462,1,1,1,1,2,5,5,4,4,4,4,4,4,3
463,1,1,1,1,3,4,4,5,5,5,5,5,5,3
465,1,1,1,1,5,4,5,5,4,3,4,4,5,5
466,3,3,3,3,5,4,4,4,4,5,4,5,4,3
468,5,5,5,5,3,5,4,4,4,4,5,5,4,5
469,0,5,0,4,2,5,5,3,3,3,3,5,3,4
470,3,2,3,3,5,5,4,5,5,5,4,4,5,4
471,1,1,1,1,4,5,5,4,4,4,4,4,4,4
472,1,1,1,4,3,1,3,3,5,3,5,4,4,3
473,0,4,0,4,3,5,5,2,2,2,2,5,2,5
474,4,4,4,4,5,4,5,5,5,5,5,4,5,5
475,1,1,1,1,5,5,5,5,5,5,5,3,5,4
476,3,3,3,3,2,4,5,4,4,4,5,5,4,3
477,3,3,3,3,3,5,5,5,5,5,5,4,5,5
479,4,4,4,1,1,4,1,1,5,3,4,3,5,1
480,4,4,4,4,1,4,1,1,4,5,5,3,4,1
481,1,1,1,1,4,5,5,4,4,4,4,4,4,4
482,1,1,1,1,5,5,5,5,3,3,4,4,5,5
483,5,5,5,5,3,5,5,5,5,5,4,4,5,3
485,0,4,0,5,5,4,5,4,4,4,4,4,4,4
486,1,1,1,1,3,4,5,4,4,4,4,3,4,5
488,4,4,4,4,4,4,5,4,4,4,4,4,4,5
489,2,0,2,3,2,2,2,2,3,4,4,4,5,2
490,1,1,1,1,4,5,4,4,4,4,4,3,4,4
491,3,3,3,3,2,4,5,5,5,5,5,4,5,3
492,1,1,1,1,3,5,4,4,4,4,4,3,4,4
493,0,4,0,3,2,4,5,3,3,3,3,4,3,4
494,3,3,3,1,4,3,4,4,5,5,5,5,4,4
495,4,4,4,4,5,4,4,4,4,4,4,4,4,3
496,5,5,5,5,3,5,5,5,5,5,5,5,5,5
497,1,1,1,1,2,5,5,4,4,4,5,5,4,3
498,5,5,5,5,3,5,5,4,4,4,5,3,4,3
499,2,2,4,2,3,4,5,5,5,5,5,3,5,3
501,1,1,1,1,2,5,4,4,4,4,4,4,4,4
502,0,4,1,1,4,4,4,1,1,1,1,4,1,3
503,4,5,4,4,5,4,4,5,5,5,4,4,5,3
504,1,1,1,1,4,4,4,4,4,4,4,4,4,3
505,0,4,0,4,2,5,5,2,2,2,2,4,2,5
506,0,0,0,2,5,5,5,3,3,3,3,3,3,4
507,2,2,2,2,5,4,4,5,5,5,5,5,5,3
508,4,4,4,4,4,4,4,4,4,4,5,3,4,3
509,1,1,1,1,4,4,5,4,4,5,4,3,4,3
510,1,1,1,1,2,5,4,4,4,4,4,3,4,3
511,3,3,3,3,3,5,4,5,5,5,4,3,5,3
512,2,2,2,2,4,2,4,4,3,4,5,4,4,4
513,3,3,3,3,4,5,5,4,4,4,4,3,4,3
515,4,0,5,1,3,5,3,3,4,4,5,5,4,3
518,2,0,2,3,4,2,4,4,5,5,5,5,5,4
519,2,2,2,2,5,5,4,5,5,5,5,3,5,4
520,1,1,1,1,5,4,5,5,5,4,5,4,5,4
522,1,1,1,1,4,4,5,4,4,4,5,4,4,5
523,3,3,3,3,4,4,5,3,3,4,4,5,3,3
524,4,4,5,4,3,5,4,5,5,5,5,3,5,4
525,2,2,2,2,4,4,5,4,5,4,5,5,4,4
526,5,5,5,5,5,4,5,4,4,4,4,3,4,5
527,4,4,4,1,2,4,2,2,3,2,4,3,5,2
528,3,3,3,3,4,4,5,5,5,5,4,3,5,4
529,5,5,5,5,4,5,4,4,4,4,4,4,4,4
530,0,0,0,4,3,5,5,1,1,1,1,4,1,4
531,0,0,0,3,2,5,4,2,2,2,2,3,2,5
532,4,4,4,4,4,5,4,4,4,4,4,5,4,5
533,3,3,3,4,5,3,1,5,3,5,4,5,4,5
534,3,3,3,2,4,3,4,4,5,4,5,3,5,4
535,0,0,0,4,3,4,4,1,1,1,1,3,1,4
536,5,5,5,5,4,4,5,5,5,5,4,5,5,3
537,4,4,4,4,4,4,4,4,5,3,4,5,4,4
538,4,4,4,4,2,4,5,5,5,5,5,4,5,3
539,5,5,5,5,5,4,4,5,5,5,5,5,5,3
540,5,5,5,5,5,4,5,5,5,5,5,3,5,5
541,0,0,0,5,4,4,4,5,5,5,5,4,5,5
542,2,2,2,3,2,2,2,2,5,3,4,4,4,2
543,1,1,1,1,4,4,4,4,4,4,4,5,4,3
545,0,5,0,4,3,4,4,3,3,3,3,5,3,4
549,4,4,4,4,4,4,5,4,5,3,5,4,4,4
551,0,5,0,1,3,5,5,3,3,3,3,3,3,5
554,2,2,2,2,5,4,4,4,4,4,5,3,4,4
555,2,2,2,2,5,5,5,5,3,5,4,5,4,5
558,3,3,3,3,5,5,4,4,4,5,5,5,4,5
559,0,5,0,2,4,4,4,5,5,5,5,5,5,3
561,4,5,4,5,5,4,5,5,4,2,4,3,4,5
562,4,4,4,2,4,4,4,4,5,5,4,3,4,4
564,5,5,5,5,3,4,5,5,5,5,5,3,5,5
